ID,Title,Type of document,Year,Issuer,Country of issuer,Link
PB_L_01,"CEPEJ European ethical Charter on the use of Artificial Intelligence in judicial systems and their environment
",Charter,2018,European Commission for the Efficiency of Justice (CEPEJ),Europe ,https://rm.coe.int/ethical-charter-en-for-publication-4-december-2018/16808f699c
PB_L_02,CCBE Comments on the Stakeholders Consultation on Draft Artificial Intelligence Ethics Guidelines,Guideline,2019,Council of Bars and Law Societies of Europe (CCBE),Europe,https://www.ccbe.eu/fileadmin/speciality_distribution/public/documents/FUTURE/FUTURE_Position_papers/EN_Future_20190201_CCBE-Comments-on-the-Stakeholders-Consultation-on-Draft-Artificial-Intelligence-Ethics-Guidelines.pdf
PB_L_03,CCBE Response to the consultation on the European Commission’s White Paper on Artificial Intelligence,White paper,2020,Council of Bars and Law Societies of Europe  (CCBE),Europe,https://www.ccbe.eu/fileadmin/speciality_distribution/public/documents/IT_LAW/ITL_Position_papers/EN_ITL_20200605_CCBE-Response-to-the-consultation-regarding-the-European-Commission-s-White-Paper-on-AI.pdf
PB_L_04,CCBE considerations on the Legal Aspects of AI ,Guideline,2020,Council of Bars and Law Societies of Europe (CCBE),Europe,https://www.ccbe.eu/fileadmin/speciality_distribution/public/documents/IT_LAW/ITL_Guides_recommendations/EN_ITL_20200220_CCBE-considerations-on-the-Legal-Aspects-of-AI.pdf
PB_L_05,CEPEJ Revised roadmap for ensuring an appropriate follow-up of the CEPEJ Ethical Charter on the use of artificial intelligence in judicial systems and their environment,Guideline,2021,European Commission on the Efficiency of Justice (CEPEJ),Europe ,https://rm.coe.int/cepej-2021-16-en-revised-roadmap-follow-up-charter/1680a4cf2f
PB_L_06,CCBE Guide on the use of Artificial Intelligence-based tools by lawyers and law firms in the EU,Guide,2022,Council of Bars and Law Societies of Europe ,Europe,https://www.ccbe.eu/fileadmin/speciality_distribution/public/documents/IT_LAW/ITL_Reports_studies/EN_ITL_20220331_Guide-AI4L.pdf    
PB_L_07,"EUROJUST Artificial intelligence supporting cross-border cooperation in criminal justice
",Guideline,2022,European Union Agency for Criminal Justic Cooperation (EUROJUST),Europe,https://www.eurojust.europa.eu/sites/default/files/assets/artificial-intelligence-cross-border-cooperation-criminal-justice-factsheet.pdf
PB_L_08,CEPEJ Assessment Tool for the Operationalisation of the European Ethical Charter on the Use of Artificial Intelligence in Judicial Systems and Their Environment,Assessment tool,2023,European Commission on the Efficiency of Justice (CEPEJ),Europe (CoE),https://rm.coe.int/cepej-2023-16final-operationalisation-ai-ethical-charter-en/1680adcc9c
PB_L_09,EUROJUST Generative Artificial Intelligence - The impact on intellectual property crimes,,2023,European Union Agency for Criminal Justic Cooperation (EUROJUST),Europe,https://www.eurojust.europa.eu/sites/default/files/assets/generative-ai-impact-to-ip-crimes.pdf
PB_L_10,ELI GPAI Principles on Co-Generated Data,Guideline,2024,European Law Institute,Europe,Cogen 2024: Copyright and Data Protection Rights in Co-Generated Input and Output of Generative AI.docx
PB_L_11,"EDPS Generative AI and the EUDPR, First EDPS Orientations for ensuring data protection compliance when using Generative AI systems",Guideline,2024,European Data Protection Supervisor,Europe,https://www.edps.europa.eu/system/files/2024-06/24-06-03_genai_orientations_en.pdf
PB_L_12,FBE (New Technologies Commission) Guidelines on How Lawyers Should Take Advantage of the Opportunities Offered by Large Language Models and Generative AI.’,Guideline,2024,The European Bars Federation / Fédération des Barreaux d’Europe,Europe,https://www.fbe.org/wp-content/uploads/2025/02/European-lawyers-in-the-era-of-ChatGPT-Guidelines-2.0-on-how-lawyers-should-take-advantage-of-the-opportunities-offered-by-large-language-models-and-generative-AI-.pdf
PB_L_13,UIA Guidelines on the use of artificial intelligence systems by lawyers,Guideline,2024,Union Internationale des Avocats/International Association of Lawyers (UIA),N/A,https://www.uianet.org/sites/default/files/uia_guidelines_use_ai_systems_by_lawyers_en_final.pdf
PB_L_14,UNESCO Draft guidelines for the use of AI in Courts and Tribunals,Guideline,2025,UNESCO,EU ,https://unesdoc.unesco.org/ark:/48223/pf0000393682
