ID,Title,Type of document,Year,Issuer,Country of issuer,Link
SuB_01,AI HLEG Policy and investment recommendations for trustworthy Artificial Intelligence,Recommendation,2019,European Commission's High-Level Expert Group on AI,European Union,https://digital-strategy.ec.europa.eu/en/library/policy-and-investment-recommendations-trustworthy-artificial-intelligence
SuB_02,AI HLEG Ethics guidelines for trustworthy AI,Guideline,2019,European Commission's High-Level Expert Group on AI,European Union,https://ec.europa.eu/newsroom/dae/document.cfm?doc_id=60419
SuB_03,AI HLEG Assessment List for Trustworthy AI (ALTAI),Guideline,2020,European Commission's High-Level Expert Group on AI,European Union,https://digital-strategy.ec.europa.eu/en/library/assessment-list-trustworthy-artificial-intelligence-altai-self-assessment
SuB_04,AI HLEG  Sectoral Considerations on Policy and Investment Recommendations for Trustworthy AI,Recommendation,2020,European Commission's High-Level Expert Group on AI,European Union,https://futurium.ec.europa.eu/en/european-ai-alliance/document/ai-hleg-sectoral-considerations-policy-and-investment-recommendations-trustworthy-ai
SuB_05,The EU AI Act,Legislation,2024,EU Council and Parliament,European Union,http://data.europa.eu/eli/reg/2024/1689/oj
SuB_06,"European Commission Guidelines on prohibited artificial intelligence practices established by
Regulation (EU) 2024/1689 (AI Act)",Guideline ,2025,European Commission,European Union,https://digital-strategy.ec.europa.eu/en/library/commission-publishes-guidelines-prohibited-artificial-intelligence-ai-practices-defined-ai-act
SuB_07,European Commission Guidelines on the scope of the obligations for general-purpose AI models established by Regulation (EU) 2024/1689 (AI Act),Guideline,2025,European Commission,European Union,https://digital-strategy.ec.europa.eu/en/library/guidelines-scope-obligations-providers-general-purpose-ai-models-under-ai-act
SuB_08,The General-Purpose AI Code of Practice,Code of practice,2025,European Commission,European Union,https://digital-strategy.ec.europa.eu/en/policies/contents-code-gpai
SuB_09,"Council of Europe Framework Convention on Artificial Intelligence and Human
Rights, Democracy and the Rule of Law",Treaty,2024,Council of Europe,Europe,https://rm.coe.int/1680afae3c
SuB_10,"OECD, Recommendation of the Council on Artificial Intelligence",Guideline,2019,OECD,International,https://legalinstruments.oecd.org/en/instruments/OECD-LEGAL-0449
SuB_11,UNESCO Recommendation on the Ethics of Artificial Intelligence,Guideline,2022,UNESCO,International,https://unesdoc.unesco.org/ark:/48223/pf0000381137
SuB_12,United Nations Governing AI for Humanity: Final Report,Guideline,2024,United Nations' High-level Advisory Body on Artificial Intelligence,International,https://www.un.org/sites/un2.un.org/files/governing_ai_for_humanity_final_report_en.pdf
SuB_13,"
G20 Ministerial Statement on Trade and Digital Economy",Guideline,2019,G20,G20  group,https://wp.oecd.ai/app/uploads/2021/06/G20-AI-Principles.pdf
